Species,Individual,Twig,Major diameter,Minor diameter,Area,,,,,,,,
MRE,MRE01,MRE01-01-01,41.062,63.323,2685.23,,,,,,,,
MRE,MRE01,MRE01-01-01,47.014,58.967,870.202,,,,,,,,
MRE,MRE01,MRE01-01-01,57.515,44.102,2791.748,,,,,,,,
MRE,MRE01,MRE01-01-01,16.964,39.522,3770.876,,,,,,,,
MRE,MRE01,MRE01-01-01,71.845,64.182,2603.385,,,,,,,,
MRE,MRE01,MRE01-01-01,42.206,20.495,650.545,,,,,,,,
MRE,MRE01,MRE01-01-01,49.412,46.713,2139.398,,,,,,,,
MRE,MRE01,MRE01-01-01,51.982,91.058,3362.254,,,,,,,,
MRE,MRE01,MRE01-01-01,50.514,47.289,2406.597,,,,,,,,
MRE,MRE01,MRE01-01-01,53.858,14.902,4349.206,,,,,,,,
MRE,MRE01,MRE01-01-01,57.096,48.384,701.698,,,,,,,,
MRE,MRE01,MRE01-01-01,60.38,80.117,2538.391,,,,,,,,
MRE,MRE01,MRE01-01-01,47.632,96.122,3905.679,,,,,,,,
MRE,MRE01,MRE01-01-01,40.317,69.321,2699.673,,,,,,,,
MRE,MRE01,MRE01-01-01,51.423,59.471,2679.212,,,,,,,,
MRE,MRE01,MRE01-01-01,37.526,41.174,1515.331,,,,,,,,
MRE,MRE01,MRE01-01-01,22.908,64.205,1171.102,,,,,,,,
MRE,MRE01,MRE01-01-01,43.025,87.674,3130.561,,,,,,,,
MRE,MRE01,MRE01-01-01,40.25,85.28,3051.124,,,,,,,,
MRE,MRE01,MRE01-01-01,69.429,73.538,4393.739,,,,,,,,
MRE,MRE01,MRE01-01-01,27.307,32.909,1021.254,,,,,,,,
MRE,MRE01,MRE01-01-01,34.758,43.703,1483.436,,,,,,,,
MRE,MRE01,MRE01-01-01,38.791,41.183,1612.823,,,,,,,,
MRE,MRE01,MRE01-01-01,52.296,39.522,1976.31,,,,,,,,
MRE,MRE01,MRE01-01-01,30.753,37.024,1430.478,,,,,,,,
MRE,MRE01,MRE01-01-01,54.557,60.698,3017.423,,,,,,,,
MRE,MRE01,MRE01-01-01,38.32,54.926,2184.532,,,,,,,,
MRE,MRE01,MRE01-01-01,33.367,29.945,1149.437,,,,,,,,
MRE,MRE01,MRE01-01-01,52.398,56.693,3043.3,,,,,,,,
MRE,MRE01,MRE01-01-01,32.169,41.715,1384.139,,,,,,,,
MRE,MRE01,MRE01-01-01,26.057,20.363,427.278,,,,,,,,
MRE,MRE01,MRE01-01-01,25.685,18.927,344.831,,,,,,,,
MRE,MRE01,MRE01-01-01,26.436,11.643,713.133,,,,,,,,
MRE,MRE01,MRE01-01-01,20.159,23.992,495.883,,,,,,,,
MRE,MRE01,MRE01-01-01,22.517,33.461,510.326,,,,,,,,
MRE,MRE01,MRE01-01-01,12.519,24.139,921.355,,,,,,,,
MRE,MRE01,MRE01-01-01,19.601,28.197,330.388,,,,,,,,
MRE,MRE01,MRE01-01-01,14.344,23.042,1091.664,,,,,,,,
MRE,MRE01,MRE01-01-01,10.072,20.396,1086.85,,,,,,,,
MRE,MRE01,MRE01-01-01,28.232,33.172,1657.958,,,,,,,,
MRE,MRE01,MRE01-01-01,36.324,28.123,745.63,,,,,,,,
MRE,MRE01,MRE01-01-01,28.934,39.158,1097.081,,,,,,,,
MRE,MRE01,MRE01-01-01,36.806,48.052,1332.384,,,,,,,,
MRE,MRE01,MRE01-01-01,27.034,21.98,791.968,,,,,,,,
MRE,MRE01,MRE01-01-01,25.521,32.399,273.819,,,,,,,,
MRE,MRE01,MRE01-01-01,22.517,12.759,571.108,,,,,,,,
MRE,MRE01,MRE01-01-01,25.739,18.285,382.745,,,,,,,,
MRE,MRE01,MRE01-01-01,17.5,14.81,252.756,,,,,,,,
MRE,MRE01,MRE01-01-01,25.497,29.957,435.703,,,,,,,,
MRE,MRE01,MRE01-01-02,17.287,26.209,3497.705,,,,,,,,
MRE,MRE01,MRE01-01-02,50.654,32.069,1579.745,,,,,,,,
MRE,MRE01,MRE01-01-02,19.309,22.58,2379.547,,,,,,,,
MRE,MRE01,MRE01-01-02,21.059,26.026,2962.698,,,,,,,,
MRE,MRE01,MRE01-01-02,33.748,34.115,2647.953,,,,,,,,
MRE,MRE01,MRE01-01-02,37.18,38.32,7105.541,,,,,,,,
MRE,MRE01,MRE01-01-02,35.908,33.279,6826.303,,,,,,,,
MRE,MRE01,MRE01-01-02,26.929,23.453,1161.488,,,,,,,,
MRE,MRE01,MRE01-01-02,39.647,29.54,1843.336,,,,,,,,
MRE,MRE01,MRE01-01-02,12.841,15.946,691.477,,,,,,,,
MRE,MRE01,MRE01-01-02,23.961,28.451,1032.1,,,,,,,,
MRE,MRE01,MRE01-01-02,20.304,28.379,1556.876,,,,,,,,
MRE,MRE01,MRE01-01-02,14.559,17.327,5778.556,,,,,,,,
MRE,MRE01,MRE01-01-02,21.001,28.474,7295.111,,,,,,,,
MRE,MRE01,MRE01-01-02,30.967,24.139,6999.623,,,,,,,,
MRE,MRE01,MRE01-01-02,26.698,20.297,3977.346,,,,,,,,
MRE,MRE01,MRE01-01-02,25.039,33.521,6362.911,,,,,,,,
MRE,MRE01,MRE01-01-02,42.863,30.043,1609.233,,,,,,,,
MRE,MRE01,MRE01-01-02,43.61,37.993,6024.093,,,,,,,,
MRE,MRE01,MRE01-01-02,13.888,36.621,2301.312,,,,,,,,
MRE,MRE01,MRE01-01-02,46.784,43.366,2472.827,,,,,,,,
MRE,MRE01,MRE01-01-02,50.683,49.894,5886.279,,,,,,,,
MRE,MRE01,MRE01-01-02,55.157,41.677,3584.967,,,,,,,,
MRE,MRE01,MRE01-01-02,63.85,46.48,5536.629,,,,,,,,
MRE,MRE01,MRE01-01-02,65.592,38.598,5475.847,,,,,,,,
MRE,MRE01,MRE01-01-02,68.564,63.831,3039.128,,,,,,,,
MRE,MRE01,MRE01-01-02,31.031,43.606,2898.907,,,,,,,,
MRE,MRE01,MRE01-01-02,62.252,43.556,3805.229,,,,,,,,
MRE,MRE01,MRE01-01-02,53.667,31.416,5005.835,,,,,,,,
MRE,MRE01,MRE01-01-02,58.96,34.118,1890.277,,,,,,,,
MRE,MRE01,MRE01-01-02,61.099,51.077,1042.331,,,,,,,,
MRE,MRE01,MRE01-01-02,57.089,23.734,5207.44,,,,,,,,
MRE,MRE01,MRE01-01-02,67.685,43.375,6297.916,,,,,,,,
MRE,MRE01,MRE01-01-02,45.322,55.216,4695.302,,,,,,,,
MRE,MRE01,MRE01-01-02,52.686,55.096,687.264,,,,,,,,
MRE,MRE01,MRE01-01-02,31.578,55.941,1724.78,,,,,,,,
MRE,MRE01,MRE01-01-02,35.571,38.697,9206.451,,,,,,,,
MRE,MRE01,MRE01-01-02,36.473,25.927,6260.604,,,,,,,,
MRE,MRE01,MRE01-01-02,55.836,41.742,976.132,,,,,,,,
MRE,MRE01,MRE01-01-02,51.266,57.611,2184.561,,,,,,,,
MRE,MRE01,MRE01-01-02,32.479,19.079,1666.405,,,,,,,,
MRE,MRE01,MRE01-01-02,45.679,52.5,658.377,,,,,,,,
MRE,MRE01,MRE01-01-02,67.56,63.866,559.079,,,,,,,,
MRE,MRE01,MRE01-01-02,50.198,67.113,1165.701,,,,,,,,
MRE,MRE01,MRE01-01-02,63.427,55.552,387.564,,,,,,,,
MRE,MRE01,MRE01-01-02,35.414,41.416,471.215,,,,,,,,
MRE,MRE01,MRE01-01-02,13.185,31.459,8302.536,,,,,,,,
MRE,MRE01,MRE01-01-02,22.579,41.325,752.861,,,,,,,,
MRE,MRE01,MRE01-01-02,36.084,44.543,3398.407,,,,,,,,
MRE,MRE01,MRE01-01-02,79.858,49.503,2974.133,,,,,,,,
MRE,MRE01,MRE01-01-02,82.756,50.71,3451.968,,,,,,,,
MRE,MRE01,MRE01-01-02,35.761,36.789,2545.646,,,,,,,,
MRE,MRE01,MRE01-01-02,26.512,46.552,1685.061,,,,,,,,
MRE,MRE01,MRE01-01-02,74.51,52.305,303.311,,,,,,,,
MRE,MRE01,MRE01-01-02,63.176,50.335,495.288,,,,,,,,
MRE,MRE01,MRE01-01-02,34.736,51,931.598,,,,,,,,
MRE,MRE01,MRE01-01-02,19.456,76.088,2744.242,,,,,,,,
MRE,MRE01,MRE01-01-02,36.187,59.87,596.993,,,,,,,,
MRE,MRE01,MRE01-01-02,61.945,63.176,878.639,,,,,,,,
MRE,MRE01,MRE01-01-02,73.861,63.542,3329.801,,,,,,,,
MRE,MRE01,MRE01-01-02,71.019,62.842,964.697,,,,,,,,
MRE,MRE01,MRE01-01-02,71.862,52.138,2571.523,,,,,,,,
MRE,MRE01,MRE01-01-02,55.909,43.616,545.839,,,,,,,,
MRE,MRE01,MRE01-01-02,77.471,62.856,521.165,,,,,,,,
MRE,MRE01,MRE01-01-02,76.957,45.816,4099.513,,,,,,,,
MRE,MRE01,MRE01-01-02,31.245,41.904,1692.283,,,,,,,,
MRE,MRE01,MRE01-01-02,20.083,60.554,2331.402,,,,,,,,
MRE,MRE01,MRE01-01-02,31.751,63.267,489.871,,,,,,,,
MRE,MRE01,MRE01-01-02,60.864,78.926,3816.663,,,,,,,,
MRE,MRE01,MRE01-01-02,15.823,30.858,2041.933,,,,,,,,
MRE,MRE01,MRE01-01-02,19.258,44.687,1129.593,,,,,,,,
MRE,MRE01,MRE01-01-02,18.683,19.522,622.269,,,,,,,,
MRE,MRE01,MRE01-01-02,23.901,30.17,4969.125,,,,,,,,
MRE,MRE01,MRE01-01-02,13.626,19.664,1695.292,,,,,,,,
MRE,MRE01,MRE01-01-02,16.898,50.35,3690.284,,,,,,,,
MRE,MRE01,MRE01-01-02,36.362,38.523,1390.777,,,,,,,,
MRE,MRE01,MRE01-01-02,66.338,68.459,749.25,,,,,,,,
MRE,MRE01,MRE01-01-02,31.361,18.647,605.418,,,,,,,,
MRE,MRE01,MRE01-01-02,55.788,55.821,566.301,,,,,,,,
MRE,MRE01,MRE01-01-02,37.839,14.719,994.186,,,,,,,,
MRE,MRE01,MRE01-01-02,31.035,23.273,3524.787,,,,,,,,
MRE,MRE01,MRE01-01-02,30.858,19.385,2288.674,,,,,,,,
MRE,MRE01,MRE01-01-02,70.429,41.532,1452.162,,,,,,,,
MRE,MRE01,MRE01-01-02,67.768,11.895,3830.505,,,,,,,,
MRE,MRE01,MRE01-01-02,52.762,13.486,1388.37,,,,,,,,
MRE,MRE01,MRE01-01-02,32.783,30.74,1054.367,,,,,,,,
MRE,MRE01,MRE01-01-02,89.364,79.828,1970.318,,,,,,,,
MRE,MRE01,MRE01-01-02,45.29,40.896,469.41,,,,,,,,
MRE,MRE01,MRE01-01-02,93.45,65.23,4388.982,,,,,,,,
MRE,MRE01,MRE01-01-02,36.719,55.347,4018.871,,,,,,,,
MRE,MRE01,MRE01-01-02,11.793,32.215,3025.888,,,,,,,,
MRE,MRE01,MRE01-01-02,65.901,35.478,1180.145,,,,,,,,
MRE,MRE01,MRE01-01-02,83.194,71.736,1393.786,,,,,,,,
MRE,MRE01,MRE01-01-02,39.604,48.019,3605.429,,,,,,,,
MRE,MRE01,MRE01-01-02,19.761,38.442,1716.355,,,,,,,,
MRE,MRE01,MRE01-01-02,40.422,27.18,2849.559,,,,,,,,
MRE,MRE01,MRE01-01-02,49.703,13.575,2215.855,,,,,,,,
MRE,MRE01,MRE01-01-02,39.408,16.165,761.888,,,,,,,,
MRE,MRE01,MRE01-01-02,52.306,54.529,3858.188,,,,,,,,
MRE,MRE01,MRE01-01-02,76.195,53.158,2713.55,,,,,,,,
MRE,MRE01,MRE01-01-02,62.49,58.96,1202.411,,,,,,,,
MRE,MRE01,MRE01-01-02,72.441,52.886,1458.781,,,,,,,,
MRE,MRE01,MRE01-01-02,27.328,33.583,3164.906,,,,,,,,
MRE,MRE01,MRE01-01-02,86.001,53.07,2231.502,,,,,,,,
MRE,MRE01,MRE01-01-02,64.766,47.594,2116.557,,,,,,,,
MRE,MRE01,MRE01-01-02,55.617,78.198,1090.475,,,,,,,,
MRE,MRE01,MRE01-01-02,84.487,81.252,2374.131,,,,,,,,
MRE,MRE01,MRE01-01-02,97.218,101.518,1768.712,,,,,,,,
MRE,MRE01,MRE01-01-02,68.13,41.898,915.951,,,,,,,,
MRE,MRE01,MRE01-01-02,49.027,38.21,2474.632,,,,,,,,
MRE,MRE01,MRE01-01-02,40.28,28.238,3529.601,,,,,,,,
MRE,MRE01,MRE01-01-02,26.008,21.638,1322.773,,,,,,,,
MRE,MRE01,MRE01-01-02,19.884,22.336,2217.059,,,,,,,,
MRE,MRE01,MRE01-01-02,25.706,14.922,2604.623,,,,,,,,
MRE,MRE01,MRE01-01-02,19.456,36.494,1491.881,,,,,,,,
MRE,MRE01,MRE01-01-02,18.891,42.07,2310.339,,,,,,,,
MRE,MRE01,MRE01-01-02,24.248,52.843,3108.938,,,,,,,,
MRE,MRE01,MRE01-01-02,43.276,42.603,3908.138,,,,,,,,
MRE,MRE01,MRE01-01-02,68.798,66.72,3123.983,,,,,,,,
MRE,MRE01,MRE01-01-02,29.438,26.716,1172.321,,,,,,,,
MRE,MRE01,MRE01-01-02,50.657,43.945,2501.112,,,,,,,,
MRE,MRE01,MRE01-01-02,39.251,52.552,1188.57,,,,,,,,
MRE,MRE01,MRE01-01-02,27.416,35.862,708.327,,,,,,,,
MRE,MRE01,MRE01-01-02,93.533,78.964,843.734,,,,,,,,
MRE,MRE01,MRE01-01-02,110.675,98.285,358.677,,,,,,,,
MRE,MRE01,MRE01-01-02,28.962,57.924,278.637,,,,,,,,
MRE,MRE01,MRE01-01-02,101.451,76.57,690.273,,,,,,,,
MRE,MRE01,MRE01-01-02,92.109,58.958,612.64,,,,,,,,
MRE,MRE01,MRE01-01-02,48.713,19.68,1938.422,,,,,,,,
MRE,MRE01,MRE01-01-02,88.375,72.641,1306.524,,,,,,,,
MRE,MRE01,MRE01-01-02,52.181,23.244,922.571,,,,,,,,
MRE,MRE01,MRE01-01-02,76.023,93.921,467.003,,,,,,,,
MRE,MRE01,MRE01-01-02,65.23,71.639,2835.115,,,,,,,,
MRE,MRE01,MRE01-01-02,80.792,82.106,2011.843,,,,,,,,
MRE,MRE01,MRE01-01-02,53.005,49.4,2232.706,,,,,,,,
MRE,MRE01,MRE01-01-02,94.941,83.038,1826.486,,,,,,,,
MRE,MRE01,MRE01-01-02,90.279,99.561,475.428,,,,,,,,
MRE,MRE01,MRE01-01-02,54.976,33.115,1588.772,,,,,,,,
MRE,MRE01,MRE01-01-02,91.287,82.444,1267.407,,,,,,,,
MRE,MRE01,MRE01-01-02,99.733,88.942,693.884,,,,,,,,
MRE,MRE01,MRE01-01-02,56.446,73.419,534.405,,,,,,,,
MRE,MRE01,MRE01-01-02,78.387,87.716,700.504,,,,,,,,
MRE,MRE01,MRE01-01-02,33.93,52.184,560.283,,,,,,,,
MRE,MRE01,MRE01-01-02,48.694,53.28,240.121,,,,,,,,
MRE,MRE01,MRE01-01-02,69.616,96.226,504.315,,,,,,,,
MRE,MRE01,MRE01-01-02,73.21,115.325,684.255,,,,,,,,
MRE,MRE01,MRE01-01-02,49.576,52.245,799.2,,,,,,,,
MRE,MRE01,MRE01-01-02,57.173,47.468,1045.34,,,,,,,,
MRE,MRE01,MRE01-01-02,23.689,69.539,197.393,,,,,,,,
MRE,MRE01,MRE01-01-02,47.132,74.049,1024.878,,,,,,,,
MRE,MRE01,MRE01-01-02,24.114,43.92,1373.325,,,,,,,,
MRE,MRE01,MRE01-01-02,37.136,60.121,1006.824,,,,,,,,
MRE,MRE01,MRE01-01-02,23.479,57.928,525.98,,,,,,,,
MRE,MRE01,MRE01-01-02,11.425,66.593,453.161,,,,,,,,
MRE,MRE01,MRE01-01-02,52.549,45.664,1255.972,,,,,,,,
MRE,MRE01,MRE01-01-02,18.101,35.924,407.424,,,,,,,,
MRE,MRE01,MRE01-01-03,51.176,69.785,3132.956,,,,,,,,
MRE,MRE01,MRE01-01-03,29.996,43.553,1272.801,,,,,,,,
MRE,MRE01,MRE01-01-03,54.192,53.646,2614.808,,,,,,,,
MRE,MRE01,MRE01-01-03,35.546,40.669,1113.926,,,,,,,,
MRE,MRE01,MRE01-01-03,30.983,19.072,648.737,,,,,,,,
MRE,MRE01,MRE01-01-03,30.828,45.208,1202.992,,,,,,,,
MRE,MRE01,MRE01-01-03,44.693,49.944,1044.118,,,,,,,,
MRE,MRE01,MRE01-01-03,40.406,51.253,2880.803,,,,,,,,
MRE,MRE01,MRE01-01-03,46.571,41.122,1695.262,,,,,,,,
MRE,MRE01,MRE01-01-03,32.729,28.703,2535.973,,,,,,,,
MRE,MRE01,MRE01-01-03,50.035,46.777,1308.909,,,,,,,,
MRE,MRE01,MRE01-01-03,26.387,41.955,3633.651,,,,,,,,
MRE,MRE01,MRE01-01-03,41.378,24.161,2031.667,,,,,,,,
MRE,MRE01,MRE01-01-03,67.775,54.331,1735.583,,,,,,,,
MRE,MRE01,MRE01-01-03,43.505,53.115,1899.873,,,,,,,,
MRE,MRE01,MRE01-01-03,36.494,59.914,949.034,,,,,,,,
MRE,MRE01,MRE01-01-03,40.347,39.632,2260.952,,,,,,,,
MRE,MRE01,MRE01-01-03,53.55,45.32,985.142,,,,,,,,
MRE,MRE01,MRE01-01-03,41.92,28.745,3157.629,,,,,,,,
MRE,MRE01,MRE01-01-03,52.734,62.078,2573.886,,,,,,,,
MRE,MRE01,MRE01-01-03,51.022,70.4,2249.517,,,,,,,,
MRE,MRE01,MRE01-01-03,44.151,69.542,716.139,,,,,,,,
MRE,MRE01,MRE01-01-03,56.065,71.978,1938.99,,,,,,,,
MRE,MRE01,MRE01-01-03,49.691,58.443,559.671,,,,,,,,
MRE,MRE01,MRE01-01-03,67.264,70.883,1700.077,,,,,,,,
MRE,MRE01,MRE01-01-03,77.603,70.852,3435.66,,,,,,,,
MRE,MRE01,MRE01-01-03,39.836,67.25,3033.659,,,,,,,,
MRE,MRE01,MRE01-01-03,38.843,94.444,4033.244,,,,,,,,
MRE,MRE01,MRE01-01-03,40.386,67.258,2802.569,,,,,,,,
MRE,MRE01,MRE01-01-03,53.478,49.751,4091.618,,,,,,,,
MRE,MRE01,MRE01-01-03,49.577,15.147,4886.592,,,,,,,,
MRE,MRE01,MRE01-01-03,57.302,30.672,2510.096,,,,,,,,
MRE,MRE01,MRE01-01-03,34.014,15.689,3704.061,,,,,,,,
MRE,MRE01,MRE01-01-03,41.314,40.653,2785.719,,,,,,,,
MRE,MRE01,MRE01-01-03,60.047,59.098,1570.089,,,,,,,,
MRE,MRE01,MRE01-01-03,74.573,73.419,4485.795,,,,,,,,
MRE,MRE01,MRE01-01-03,74.104,73.024,2219.428,,,,,,,,
MRE,MRE01,MRE01-01-03,55.903,30.61,7186.661,,,,,,,,
MRE,MRE01,MRE01-01-03,80.143,58.037,2305.485,,,,,,,,
MRE,MRE01,MRE01-01-03,58.697,38.515,5412.563,,,,,,,,
MRE,MRE01,MRE01-01-03,102.4,38.02,1589.346,,,,,,,,
MRE,MRE01,MRE01-01-03,99.324,21.003,2135.778,,,,,,,,
MRE,MRE01,MRE01-01-03,65.163,23.286,3438.067,,,,,,,,
MRE,MRE01,MRE01-01-03,70.093,45.021,6351.366,,,,,,,,
MRE,MRE01,MRE01-01-03,74.537,42.667,1841.499,,,,,,,,
MRE,MRE01,MRE01-01-03,74.731,70.662,1644.11,,,,,,,,
MRE,MRE01,MRE01-01-03,105.372,74.67,4969.64,,,,,,,,
MRE,MRE01,MRE01-01-03,59.141,44.651,5431.219,,,,,,,,
MRE,MRE01,MRE01-01-03,77.715,65.168,4926.913,,,,,,,,
MRE,MRE01,MRE01-01-03,78.902,62.138,1304.094,,,,,,,,
MRE,MRE01,MRE01-01-03,48.601,36.592,2395.152,,,,,,,,
MRE,MRE01,MRE01-01-03,60.752,35.987,4124.115,,,,,,,,
MRE,MRE01,MRE01-01-03,78.447,45.532,1866.173,,,,,,,,
MRE,MRE01,MRE01-01-03,95.591,77.541,2857.333,,,,,,,,
MRE,MRE01,MRE01-01-03,57.123,36.335,3184.71,,,,,,,,
MRE,MRE01,MRE01-01-03,52.762,28.98,4428.023,,,,,,,,
MRE,MRE01,MRE01-01-03,80.705,69.37,5206.748,,,,,,,,
MRE,MRE01,MRE01-01-03,90.278,62.138,5238.644,,,,,,,,
MRE,MRE01,MRE01-01-03,79.37,57.427,4431.032,,,,,,,,
MRE,MRE01,MRE01-01-03,64.556,15.689,926.768,,,,,,,,
MRE,MRE01,MRE01-01-03,72.212,54.203,3315.3,,,,,,,,
MRE,MRE01,MRE01-01-03,45.77,51.999,2560.045,,,,,,,,
MRE,MRE01,MRE01-01-03,58.573,25.017,558.468,,,,,,,,
MRE,MRE01,MRE01-01-03,30.482,18.44,1357.052,,,,,,,,
MRE,MRE01,MRE01-01-03,57.573,24.086,2544.398,,,,,,,,
MRE,MRE01,MRE01-01-03,66.611,28.797,1479.217,,,,,,,,
MRE,MRE01,MRE01-01-03,37.526,36.469,2331.964,,,,,,,,
MRE,MRE01,MRE01-01-03,68.488,33.033,1162.672,,,,,,,,
MRE,MRE01,MRE01-02-01,82.131,62.49,1181.933,,,,,,,,
MRE,MRE01,MRE01-02-01,74.731,45.909,334.6,,,,,,,,
MRE,MRE01,MRE01-02-01,43.835,106.703,1874.603,,,,,,,,
MRE,MRE01,MRE01-02-01,102.044,67.351,1274.61,,,,,,,,
MRE,MRE01,MRE01-02-01,99.092,97.168,1272.202,,,,,,,,
MRE,MRE01,MRE01-02-01,60.895,34.023,1422.05,,,,,,,,
MRE,MRE01,MRE01-02-01,82.501,52.741,799.79,,,,,,,,
MRE,MRE01,MRE01-02-01,84.062,73.613,136.608,,,,,,,,
MRE,MRE01,MRE01-02-01,85.719,32.66,439.915,,,,,,,,
MRE,MRE01,MRE01-02-01,54.908,12.412,777.524,,,,,,,,
MRE,MRE01,MRE01-02-01,79.933,66.496,406.214,,,,,,,,
MRE,MRE01,MRE01-02-01,25.588,53.969,1052.546,,,,,,,,
MRE,MRE01,MRE01-02-01,10.551,33.168,1050.139,,,,,,,,
MRE,MRE01,MRE01-02-01,41.841,70.029,2038.894,,,,,,,,
MRE,MRE01,MRE01-02-01,65.127,74.104,666.191,,,,,,,,
MRE,MRE01,MRE01-02-01,64.914,84.144,367.699,,,,,,,,
MRE,MRE01,MRE01-02-01,43.22,65.012,738.407,,,,,,,,
MRE,MRE01,MRE01-02-01,29.996,69.332,3520.522,,,,,,,,
MRE,MRE01,MRE01-02-01,44.326,66.488,1724.755,,,,,,,,
MRE,MRE01,MRE01-02-01,17.584,53.987,4362.438,,,,,,,,
MRE,MRE01,MRE01-02-01,62.323,80.095,5967.435,,,,,,,,
MRE,MRE01,MRE01-02-01,66.149,90.669,3746.798,,,,,,,,
MRE,MRE01,MRE01-02-01,73.037,57.701,2256.745,,,,,,,,
MRE,MRE01,MRE01-02-01,26.623,55.279,1663.973,,,,,,,,
MRE,MRE01,MRE01-02-01,13.094,51.864,3622.828,,,,,,,,
MRE,MRE01,MRE01-02-01,23.324,64.896,3283.413,,,,,,,,
MRE,MRE01,MRE01-02-01,59.441,73.549,4429.238,,,,,,,,
MRE,MRE01,MRE01-02-01,72.393,116.781,4215.6,,,,,,,,
MRE,MRE01,MRE01-02-01,82.388,104.678,2737.582,,,,,,,,
MRE,MRE01,MRE01-02-01,22.021,45.865,540.415,,,,,,,,
MRE,MRE01,MRE01-02-01,18.064,49.172,4123.524,,,,,,,,
MRE,MRE01,MRE01-02-01,38.646,54.815,3695.044,,,,,,,,
MRE,MRE01,MRE01-02-01,82.321,100.201,4237.866,,,,,,,,
MRE,MRE01,MRE01-02-01,56.096,36.147,4337.765,,,,,,,,
MRE,MRE01,MRE01-02-01,54.076,56.293,3306.884,,,,,,,,
MRE,MRE01,MRE01-02-01,38.431,59.345,4263.142,,,,,,,,
MRE,MRE01,MRE01-02-01,50.424,74.474,3750.409,,,,,,,,
MRE,MRE01,MRE01-02-01,74.395,94.132,6387.491,,,,,,,,
MRE,MRE01,MRE01-02-01,48.122,82.063,1920.339,,,,,,,,
MRE,MRE01,MRE01-02-01,73.148,67.361,5729.123,,,,,,,,
MRE,MRE01,MRE01-02-01,66.23,60.021,2331.368,,,,,,,,
MRE,MRE01,MRE01-02-01,63.62,57.861,3230.455,,,,,,,,
MRE,MRE01,MRE01-02-01,89.852,65.223,5466.739,,,,,,,,
MRE,MRE01,MRE01-02-01,39.251,27.721,1028.474,,,,,,,,
MRE,MRE01,MRE01-02-01,41.49,24.575,1186.145,,,,,,,,
MRE,MRE01,MRE01-02-01,68.941,44.008,4338.968,,,,,,,,
MRE,MRE01,MRE01-02-01,41.065,6.802,6274.955,,,,,,,,
MRE,MRE01,MRE01-02-01,58.625,58.625,2753.831,,,,,,,,
MRE,MRE01,MRE01-02-01,69.48,68.269,3498.256,,,,,,,,
MRE,MRE01,MRE01-02-01,69.621,80.137,4420.211,,,,,,,,
MRE,MRE01,MRE01-02-01,73.555,66.248,4288.417,,,,,,,,
MRE,MRE01,MRE01-02-01,90.4,78.861,2212.212,,,,,,,,
MRE,MRE01,MRE01-02-01,58.933,36.084,759.47,,,,,,,,
MRE,MRE01,MRE01-02-01,62.885,69.343,828.075,,,,,,,,
MRE,MRE01,MRE01-02-01,83.078,87.183,7594.097,,,,,,,,
